ingredient,price,quantity,unit
"lemon|lemon juice|lemon zest|lemons|fresh lemon juice|'lemon, juice of'",0.58,1.00,each
10-inch flour tortillas|6-inch flour tortillas|flour tortillas|soft taco-size flour tortillas,1.68,10.00,each
accent seasoning,3.97,4.50,oz
agar-agar,1.83,6.00,oz
ahmed brand vermicelli,8.99,150.00,g
aji yellow paste,8.95,7.50,oz
all purpose greek seasoning,4.98,4.70,oz
anchovies|anchovy paste,7.99,1.60,oz
apple,0.88,1.00,each
apple cider vinegar,3.10,16.00,floz
arrowroot,5.48,20.00,oz
artichoke heart|artichoke hearts|artichokes,2.72,14.00,oz
arugula,1.98,10.00,oz
asian pears,1.06,1.00,each
asian-style dressing,7.99,12.00,floz
asparagus,3.77,10.00,oz
avocado|avocados,0.78,1.00,each
bacon,5.24,16.00,oz
baguette,1.97,10.00,oz
baking potatoes,0.92,1.00,each
baking powder,2.63,8.10,oz
baking soda,13.99,1.00,lb
balsamic vinegar,2.38,8.00,floz
bamboo shoot,8.92,8.00,oz
banana peppers,1.88,12.00,oz
barbecue sauce,3.98,15.80,oz
barley,2.18,19.00,oz
basil|basil leaves,12.99,8.00,oz
basil pesto,4.28,8.10,oz
bay leaf|bay leaves,11.99,2.50,oz
bean sprouts,14.99,64.00,oz
beans,2.48,22.00,oz
beau monde seasoning,3.98,3.50,oz
beef|lean beef|lean ground beef|london broil beef|roast beef|deli roast beef|ground beef,4.84,0.50,lb
beef consomme|beef stock,2.43,7.90,oz
beer,16.48,12.00,floz
bell pepper|bell peppers,0.86,1.00,each
black beans|canned black beans,2.98,29.00,oz
pepper|black pepper|black peppercorns|cracked black pepper|ground black pepper|fresh coarse ground black pepper|fresh ground black pepper|fresh ground pepper,4.18,3.12,oz
blue cheese,3.63,5.00,oz
blue cheese dressing,3.98,13.00,floz
bok choy|baby bok choy,2.97,1.00,each
boneless skinless chicken thighs|boneless chicken thighs,5.78,1.25,lb
boneless pork chops,10.40,3.80,lb
cooked chicken breast|chicken breast|chicken breasts|boneless chicken breast|skinless chicken breasts|boneless skinless chicken breast|boneless skinless chicken breast halves|boneless skinless chicken breasts|cooked boneless skinless chicken breast,13.64,6.25,lb
bonito tuna,6.58,6.70,oz
bread|breadcrumbs,4.48,24.00,oz
bread flour,5.58,5.00,lb
broccoli|broccoli floret|broccoli florets,5.98,32.00,oz
butter|unsalted butter,5.28,16.00,oz
buttermilk,4.48,12.00,oz
button mushrooms,2.18,8.00,oz
cabbage,3.28,1.00,each
cabbage kimchi|kim chee,4.48,14.00,oz
caesar salad dressing,3.97,12.00,floz
canadian bacon,4.18,6.00,oz
canned pineapple,1.98,20.00,oz
canned tuna,1.98,4.50,oz
cannellini beans,0.82,15.50,oz
canola oil,3.96,24.00,floz
capers,1.48,3.50,floz
cardamom|cardamom pods|whole cardamom pods|ground cardamom|cardamom powder|green cardamoms,9.70,4.00,oz
carrot|carrots,2.52,10.80,oz
cashews,5.72,8.00,oz
cauliflower|cauliflower floret,0.55,10.80,oz
