recipe_id,ingredient_id,label,quantity,unit
4356,532,"lb pork butt, Coarse Ground",1.0,pound
4356,252,teaspoon fennel seeds,0.625,teaspoon
4356,724,teaspoon white pepper,0.5,teaspoon
4356,607,teaspoon sage leaves,0.3333333333333333,teaspoon
4356,164,cloves,1.0,each
4356,164,"garlic cloves, pressed",1.0,each
4356,611,teaspoon salt,0.625,teaspoon
4356,726,cup white wine,0.25,cup
4356,442,"garlic cloves, pressed",1.0,each
9002,131,"medium chicken, cubed",0.25,each
9002,668,cup tamarind pulp (WITHOUT SEEDS),0.25,cup
9002,683,cup spicy tomato sauce or 1/8 cup tomato chili sauce,0.125,cup
9002,481,tablespoon olive oil or 1/3 tablespoon canola oil,0.3333333333333333,tablespoon
9002,487,"onions, finely chopped",0.5,each
9002,62,teaspoon black pepper,0.25,teaspoon
9002,209,teaspoon cumin powder,0.25,teaspoon
9002,178,teaspoon coriander powder,0.25,teaspoon
9002,611,teaspoon salt,0.25,teaspoon
10770,685,kg tomatoes,1.0,kilogram
10770,481,ml olive oil,160.0,milliliter
10770,487,"g onions, finely sliced",280.0,gram
10770,680,tablespoon tomato puree,1.0,tablespoon
10770,438,"cloves garlic, peeled & finely sliced",3.0,each
10770,408,teaspoon sugar,1.0,teaspoon
10770,615,salt and black pepper,1.0,dash
10770,501,"tablespoons parsley, finely chopped",3.0,tablespoon
10770,492,tablespoon oregano,1.0,tablespoon
10770,672,teaspoon thyme,1.0,teaspoon
10902,476,medium octopus,0.25,each
10902,481,cup olive oil,0.125,cup
10902,730,cup wine vinegar,0.125,cup
10902,486,large onion,0.125,each
10902,61,teaspoon pepper,0.125,teaspoon
10902,602,teaspoon rosemary,0.25,teaspoon
10902,1,cup lemon juice,0.0625,cup
11648,190,"lb cottage cheese, blended until smooth",0.25,pound
11648,254,"cup feta cheese, crumbled",0.25,cup
11648,220,teaspoon dried basil,0.25,teaspoon
11648,227,teaspoon dried oregano,0.25,teaspoon
11648,442,"garlic cloves, finely minced (optional)",0.75,each
